,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
221547,-1.1916684769966799,0.42840857033736296,1.6400279979119199,-1.84885885995818,-0.870902973851414,-0.204848888100762,-0.385675453021815,0.352792551531106,-1.0983013120820602,-0.334596756889074,-0.679088728984299,-0.0396709267608324,1.37266082360735,-0.7320007064681929,-0.344528133582666,1.02475102739597,0.380208554134252,-1.08734881167274,0.36450716286912604,0.0519236276258899,0.5071734391354811,1.29256539120743,-0.467752260677413,1.2448868347780901,0.697706854168567,0.0593750371952962,-0.319964325967728,-0.0174444288740432,27.44,0
184524,1.9666143454738403,-0.450086974143125,-1.22858598246694,0.142873045016511,-0.15062683503445498,-0.543589668367277,-0.0762173700277502,-0.108390145964584,0.973310112226121,-0.0299031872918219,0.27997332480257603,0.88568461272653,-0.5839120529492379,0.32201912679539,-1.06533528070533,-0.340285458021193,-0.38539850342850995,0.216554097146846,0.675645783588427,-0.190851421732871,0.12405460597797802,0.5649162466108489,-0.0393309782796447,-0.28390400076129807,0.18640038814707802,0.192931672826823,-0.0391549993170759,-0.0713139300783105,35.95,0
91201,1.5284516139321398,-1.29619124792182,-0.890676941706623,-2.50402837074573,0.803201751195657,3.35079316563408,-1.63301595806045,0.815349571703977,-1.8846918345632198,1.46525863560446,-0.188235482218631,-0.976779495369577,0.5605503563195,-0.250847400702928,0.9361147322705041,0.13640864513052,-0.0782514981120131,0.35508617149242294,0.127756484904886,-0.163981601589173,-0.412088165493124,-1.0174854646106501,0.129565577540098,0.9480475081761921,0.2878261991303,-0.396592440615859,0.0429974925789256,0.0258531704612331,28.4,0
26115,-0.774614435490813,1.1009164288685,0.6790802697833499,1.0340158397803199,0.16863295704423004,0.8745818889251129,0.209454312304557,0.770550346601542,-0.55810624146104,-0.165441622939543,0.0175624867579759,0.285376721875966,-0.8187393831271701,0.637990714995797,-0.370124276790964,-0.6051478178897349,0.27568604590858603,0.24636226485081603,1.33192738437473,0.0809775794494643,0.0111581926773478,0.146016557004118,-0.13040140295112598,-0.8488154606895991,0.00569774342515261,-0.183295195675201,0.282939530979453,0.123855846225849,43.2,0
201292,-1.07586004798009,1.3611598899076798,1.49697217928946,2.2426040539698797,1.3147511729544599,0.272786664654084,1.00524607919915,0.132932239452703,-1.55831654755479,0.48421633128627206,-1.96799803589551,-1.81833823631313,-2.03618385886281,0.346961860347012,-1.16131582371727,1.01709252358169,-0.9267870540729549,0.183964844253284,-2.1028678660298703,-0.35400772541122494,0.254485329130849,0.530691895927068,-0.651119286900767,0.626389207601659,1.0402123990282,0.249501338291772,-0.14674524108821602,0.0297137835991877,10.59,0
70090,1.42247011498624,-0.36293645227314597,-0.0846936876334159,-0.5686767447504489,-0.8930738654119879,-1.6129576222547,-0.0956468337897011,-0.36712002313309294,-1.0043602776131,0.7184859661644709,-0.12973178268948898,-1.10927361897624,-1.06588879391738,0.35909133782064506,0.523197409442839,0.684870110154823,0.5905770960824879,-1.5686797849694398,0.5197304728795991,-0.0149262301399239,0.199569201751541,0.4508356027475329,-0.111273938697748,0.736231874566866,0.7110247462107371,-0.10194885724158699,-0.0360992155662055,0.00314112162332943,15.0,0
269172,2.0554593056538,-0.028813246249496,-1.05740524966861,0.40458508378027497,-0.0778332877392913,-1.1204323043537099,0.19452349445304698,-0.33036774516412,0.48294958548234795,0.0541410679684197,-0.62628259500132,0.659307326310509,0.43744627210563203,0.20575837380623102,0.0458605895421253,-0.181611261699177,-0.253286160936029,-1.0050624872351501,0.0719736188687575,-0.20833751499512299,-0.27959326575229804,-0.644071144501929,0.343206167968825,-0.0029318396156791803,-0.300342907145878,0.199893252666143,-0.0649207993788773,-0.0598434307269136,0.89,0
13210,1.29377594508959,0.36920295753997795,0.30944825756849503,0.6297714008019369,0.0824778407843493,-0.4355598963704821,0.0437783478269073,-0.296998722628013,1.2242397858270402,-0.4734467227844749,0.164211418182536,-1.84665003041773,3.17030274231975,1.4149969038634398,0.240625127487096,0.46993451551765203,-0.0557937991217157,-0.12321890649777999,-0.018356214349867,-0.0101346308986884,-0.44157674793453,-1.0057030258450301,0.0184647504768855,-0.49138948418303496,0.336660904540326,0.10277452675899901,-0.0527911412101964,0.00904270815601188,16.99,0
178722,1.8108601087426202,-0.547343439531193,-0.0149653473088132,1.2137789016268998,-0.7339842021860931,0.303377507170473,-0.8781829366526149,0.279557151944028,1.11489659973613,0.31745906553405295,0.11869887059579401,0.424196467862541,-0.7288460284114151,0.11079942114746401,0.103214773515214,0.972450899950502,-1.15463565991723,1.07884902424403,-0.23746480273801895,-0.168028869469336,0.122586771336289,0.33175041950337797,0.159153419619219,-0.555338843413864,-0.35153640333985003,-0.724535984233422,0.0605678910527266,-0.026952169782740003,60.0,0
207262,2.04823864359735,0.131550504392774,-1.7681351500301998,0.244709622193879,0.620000611425518,-0.41749212986224504,0.105792854219834,-0.0984502367998319,0.18734619470627398,-0.22110091787332697,0.9994779415836971,0.980098671073135,0.431357517122843,-0.743373008279154,-0.5239769381762021,0.559261569830202,0.11720947665551401,0.210681497010149,0.424594469959589,-0.11110294837192901,-0.322991546529917,-0.839968466828865,0.294518340382718,0.267634242555428,-0.244189850637495,0.16679142513039802,-0.0641211936209276,-0.0420261373630549,1.79,0
262113,1.9293976852658898,-1.0531784416629,-0.900903646862072,-0.585950280219284,-0.372635106728786,0.5575957360156529,-0.725936959106639,0.0556062687218842,-0.29374094198698,0.7214685714400609,0.142958592881269,1.40932923503111,2.0056605761567803,-0.2883665316117,-0.267103741488112,-0.923216047105553,-0.948410055747522,1.7186315133090901,-0.21042796829234897,-0.25567177133601005,-0.519741547820131,-1.12044280628777,0.28001695537296994,-0.19803885731177104,-0.429442227627678,-0.677077824808305,0.0367765715651237,-0.0173787086379884,111.59,0
