0.50000  0.00000
0.59700  0.05990
0.68605  0.13907
0.76427  0.23642
0.82895  0.35048
0.87758  0.47943
0.90787  0.62111
0.91781  0.77306
0.90572  0.93256
0.87025  1.09666
0.81045  1.26221
0.72575  1.42593
0.61601  1.58447
0.48150  1.73440
0.32294  1.87235
0.14147  1.99499
-0.06132  2.09910
-0.28346  2.18166
-0.52256  2.23985
-0.77589  2.27112
-1.04037  2.27324
-1.31260  2.24434
-1.58895  2.18294
-1.86557  2.08797
-2.13844  1.95884
-2.40343  1.79542
-2.65636  1.59805
-2.89303  1.36762
-3.10933  1.10546
-3.30126  0.81345
-3.46497  0.49392
-3.59689  0.14969
-3.69369  -0.21598
-3.75242  -0.59943
-3.77051  -0.99661
-3.74583  -1.40313
-3.67671  -1.81433
-3.56202  -2.22531
-3.40116  -2.63099
-3.19410  -3.02617
-2.94140  -3.40561
-2.64419  -3.76407
-2.30423  -4.09641
-1.92384  -4.39760
-1.50593  -4.66285
-1.05398  -4.88765
-0.57198  -5.06782
-0.06442  -5.19960
0.46374  -5.27967
1.00717  -5.30524
1.56014  -5.27408
2.11668  -5.18456
2.67055  -5.03569
3.21537  -4.82715
3.74469  -4.55931
4.25202  -4.23324
4.73095  -3.85073
5.17522  -3.41425
5.57877  -2.92699
5.93586  -2.39281
6.24111  -1.81620
6.48957  -1.20227
6.67683  -0.55670
6.79904  0.11433
6.85298  0.80419
6.83611  1.50584
6.74665  2.21194
6.58356  2.91492
6.34660  3.60703
6.03637  4.28045
5.65427  4.92740
5.20255  5.54016
4.68431  6.11124
4.10340  6.63341
3.46452  7.09979
2.77308  7.50400
2.03520  7.84015
1.25767  8.10298
0.44783  8.28791
-0.38642  8.39111
-1.23675  8.40955
-2.09448  8.34105
-2.95065  8.18436
-3.79612  7.93911
-4.62167  7.60593
-5.41811  7.18638
-6.17635  6.68301
-6.88755  6.09932
-7.54317  5.43973
-8.13509  4.70960
-8.65574  3.91513
-9.09813  3.06334
-9.45598  2.16203
-9.72381  1.21965
-9.89696  0.24528
-9.97172  -0.75151
-9.94535  -1.76070
-9.81612  -2.77196
-9.58339  -3.77474
-9.24759  -4.75837
-8.81025  -5.71222
-8.27402  -6.62575
-7.64264  -7.48866
-6.92093  -8.29101
-6.11473  -9.02331
-5.23091  -9.67665
-4.27725  -10.24281
-3.26244  -10.71431
-2.19593  -11.08458
-1.08789  -11.34797
0.05090  -11.49989
1.20914  -11.53681
2.37516  -11.45638
3.53700  -11.25743
4.68254  -10.94001
5.79966  -10.50543
6.87630  -9.95623
7.90068  -9.29620
8.86132  -8.53036
9.74727  -7.66490
10.54817  -6.70716
11.25440  -5.66556
11.85715  -4.54951
12.34858  -3.36937
12.72188  -2.13629
12.97138  -0.86218
